feature,importance
feature_7,0.1135105
feature_37,0.09437545
feature_144,0.06312655
feature_14,0.057611506
feature_179,0.050743334
feature_123,0.04298127
feature_139,0.04105277
feature_104,0.0402492
feature_42,0.039677866
feature_109,0.03162288
feature_30,0.029635642
feature_166,0.029128239
feature_1,0.028796388
feature_173,0.026128285
feature_6,0.02525783
feature_26,0.024480307
feature_151,0.02149842
feature_128,0.019818101
feature_20,0.017397396
feature_164,0.01562701
feature_8,0.012112988
feature_4,0.011185359
feature_9,0.010985951
feature_177,0.010651283
feature_150,0.009527226
feature_180,0.009446473
feature_21,0.009361045
feature_18,0.0076826676
feature_23,0.007577478
feature_10,0.0074282
feature_169,0.0073959637
feature_3,0.0067374096
feature_182,0.0060219215
feature_5,0.005888201
feature_24,0.005878678
feature_29,0.005559965
feature_22,0.005087943
feature_19,0.0048758416
feature_73,0.0047232523
feature_131,0.0046058334
feature_25,0.004522563
feature_83,0.0044174455
feature_168,0.003832578
feature_68,0.0037407929
feature_2,0.0036151647
feature_12,0.0021327385
feature_27,0.0021270658
feature_165,0.0014729899
feature_13,0.0013985728
feature_0,0.0012174721
feature_11,0.001160276
feature_167,0.0011059856
feature_16,0.0010273504
feature_15,0.0010073425
feature_183,0.0009803158
feature_28,0.00078869506
feature_135,0.0
feature_136,0.0
feature_134,0.0
feature_133,0.0
feature_132,0.0
feature_137,0.0
feature_130,0.0
feature_115,0.0
feature_129,0.0
feature_127,0.0
feature_126,0.0
feature_125,0.0
feature_124,0.0
feature_122,0.0
feature_121,0.0
feature_120,0.0
feature_119,0.0
feature_118,0.0
feature_117,0.0
feature_116,0.0
feature_114,0.0
feature_113,0.0
feature_138,0.0
feature_161,0.0
feature_140,0.0
feature_159,0.0
feature_184,0.0
feature_181,0.0
feature_178,0.0
feature_176,0.0
feature_175,0.0
feature_174,0.0
feature_172,0.0
feature_171,0.0
feature_170,0.0
feature_163,0.0
feature_162,0.0
feature_111,0.0
feature_160,0.0
feature_158,0.0
feature_141,0.0
feature_157,0.0
feature_156,0.0
feature_155,0.0
feature_154,0.0
feature_153,0.0
feature_152,0.0
feature_149,0.0
feature_148,0.0
feature_147,0.0
feature_146,0.0
feature_145,0.0
feature_143,0.0
feature_142,0.0
feature_112,0.0
feature_93,0.0
feature_110,0.0
feature_49,0.0
feature_51,0.0
feature_52,0.0
feature_53,0.0
feature_54,0.0
feature_55,0.0
feature_56,0.0
feature_57,0.0
feature_58,0.0
feature_59,0.0
feature_60,0.0
feature_61,0.0
feature_62,0.0
feature_63,0.0
feature_64,0.0
feature_65,0.0
feature_50,0.0
feature_48,0.0
feature_108,0.0
feature_47,0.0
feature_17,0.0
feature_31,0.0
feature_32,0.0
feature_33,0.0
feature_34,0.0
feature_35,0.0
feature_36,0.0
feature_38,0.0
feature_39,0.0
feature_40,0.0
feature_41,0.0
feature_43,0.0
feature_44,0.0
feature_45,0.0
feature_46,0.0
feature_66,0.0
feature_67,0.0
feature_69,0.0
feature_70,0.0
feature_91,0.0
feature_92,0.0
feature_94,0.0
feature_95,0.0
feature_96,0.0
feature_97,0.0
feature_98,0.0
feature_99,0.0
feature_100,0.0
feature_101,0.0
feature_102,0.0
feature_103,0.0
feature_105,0.0
feature_106,0.0
feature_107,0.0
feature_90,0.0
feature_89,0.0
feature_88,0.0
feature_78,0.0
feature_71,0.0
feature_72,0.0
feature_74,0.0
feature_75,0.0
feature_76,0.0
feature_77,0.0
feature_79,0.0
feature_87,0.0
feature_80,0.0
feature_81,0.0
feature_82,0.0
feature_84,0.0
feature_85,0.0
feature_86,0.0
feature_185,0.0
